Index,Value
427,0.0836
428,0.0917
429,0.0958
430,0.1074
431,0.0873
432,0.0985
433,0.0867
434,0.0922
435,0.0832
436,0.0845
437,0.0728
438,0.0632
439,0.0473
440,0.0583
441,0.0685
442,0.1158
443,0.0958
444,0.1146
445,0.0899
446,0.0910
447,0.0553
448,0.0216
449,-0.0053
450,0.0060
451,0.0261
452,0.0930
453,0.0962
454,0.0996
455,0.0784
456,0.0622
457,0.0278
458,-0.0140
459,-0.0767
460,-0.1067
461,-0.1249
462,-0.0723
463,-0.0300
464,0.0304
465,0.0606
466,0.0733
467,0.0190
468,-0.0359
469,-0.0952
470,-0.1318
471,-0.1397
472,-0.1081
473,-0.0852
474,-0.0317
475,0.0224
476,0.0686
477,0.0950
478,0.0813
479,0.0528
480,-0.0091
481,-0.0623
482,-0.1127
483,-0.1338
484,-0.1157
485,-0.1065
486,-0.0750
487,-0.0430
488,0.0118
489,0.0340
490,0.0448
491,-0.0210
492,-0.0552
493,-0.1170
494,-0.1179
495,-0.1126
496,-0.0848
497,-0.0563
498,-0.0028
499,0.0521
500,0.0999
501,0.1282
502,0.1193
503,0.0821
504,0.0260
505,-0.0307
506,-0.0793
507,-0.1020
508,-0.0844
509,-0.0788
510,-0.0506
511,-0.0274
512,0.0241
513,0.0488
514,0.0718
515,0.0325
516,-0.0226
517,-0.0831
518,-0.1255
519,-0.1329
520,-0.1319
521,-0.1141
522,-0.0989
523,-0.0757
524,-0.0473
525,0.0007
526,0.0285
527,0.0480
528,0.0111
529,-0.0449
530,-0.1012
531,-0.1405
532,-0.1375
533,-0.1412
534,-0.1231
535,-0.1167
536,-0.0972
537,-0.0794
538,-0.0423
539,-0.0491
540,-0.0655
541,-0.1241
542,-0.1549
543,-0.1770
544,-0.1617
545,-0.1563
546,-0.1306
547,-0.1109
548,-0.0673
549,-0.0156
550,0.0215
551,0.0422
552,0.0138
553,-0.0400
554,-0.0962
555,-0.1432
556,-0.1541
557,-0.1516
558,-0.1337
559,-0.1148
560,-0.0879
561,-0.0509
562,0.0034
563,0.0332
564,0.0517
565,0.0087
566,-0.0375
567,-0.0939
568,-0.1266
569,-0.1302
570,-0.1113
571,-0.0749
572,-0.0149
573,0.0341
574,0.0822
575,0.0935
576,0.0693
577,0.0499
578,0.0046
579,-0.0500
580,-0.0915
581,-0.1193
582,-0.1009
583,-0.0833
584,-0.0311
585,0.0239
586,0.0644
587,0.0824
588,0.0459
589,0.0103
590,-0.0602
591,-0.0941
592,-0.1273
593,-0.0946
594,-0.0459
595,0.0283
596,0.0777
597,0.1164
598,0.0986
599,0.1003
600,0.0734
601,0.0625
602,0.0261
603,-0.0078
604,-0.0194
605,0.0120
606,0.0597
607,0.0940
608,0.0872
609,0.0861
610,0.0703
611,0.0623
612,0.0437
613,0.0204
614,0.0235
615,0.0369
616,0.0642
617,0.1096
618,0.0908
619,0.1071
620,0.0920
621,0.1044
622,0.0996
623,0.1193
624,0.1376
625,0.1671
626,0.1465
627,0.1423
628,0.0838
629,0.1103
630,0.0898
631,0.1179
632,0.1135
633,0.1488
634,0.1727
635,0.1743
636,0.1582
637,0.1251
638,0.0764
639,0.0900
640,0.0744
641,0.0913
642,0.0842
643,0.0963
644,0.0909
645,0.0998
646,0.0897
647,0.0957
648,0.0916
649,0.1058
650,0.1050
651,0.1060
652,0.0988
653,0.0922
654,0.0738
655,0.0427
656,0.0162
657,0.0293
658,0.0402
659,0.0996
660,0.0957
661,0.1087
662,0.0828
663,0.0730
664,0.0356
665,-0.0049
666,-0.0678
667,-0.0952
668,-0.1106
669,-0.0505
670,-0.0003
671,0.0538
672,0.0760
673,0.0588
674,0.0246
675,-0.0479
676,-0.0904
677,-0.1351
678,-0.1285
679,-0.0930
680,-0.0427
681,0.0193
682,0.0680
683,0.1023
684,0.0959
685,0.0672
686,0.0220
687,-0.0447
688,-0.0899
689,-0.1277
690,-0.1148
691,-0.1108
692,-0.0769
693,-0.0510
694,0.0062
695,0.0317
696,0.0572
697,0.0169
698,-0.0333
699,-0.0938
700,-0.1311
701,-0.1378
702,-0.1263
703,-0.1018
704,-0.0682
705,-0.0190
706,0.0387
707,0.0758
708,0.0955
709,0.0584
710,0.0294
711,-0.0402
712,-0.0692
713,-0.1016
714,-0.0629
715,-0.0288
716,0.0543
717,0.0866
718,0.1228
719,0.0783
720,0.0656
721,0.0034
722,-0.0333
723,-0.0754
724,-0.0664
725,-0.0135
726,0.0475
727,0.0971
728,0.1155
729,0.1015
730,0.0985
731,0.0828
732,0.0749
733,0.0576
734,0.0394
735,0.0014
736,-0.0044
737,0.0099
738,0.0547
739,0.0888
740,0.1043
741,0.1051
742,0.0943
743,0.0829
744,0.0672
745,0.0456
746,0.0096
747,-0.0309
748,-0.0445
749,-0.0223
750,0.0363
751,0.0734
752,0.0900
753,0.0781
754,0.0590
755,0.0238
756,-0.0238
757,-0.0902
758,-0.1252
759,-0.1473
760,-0.1017
761,-0.0721
762,-0.0016
763,0.0231
764,0.0497
765,-0.0052
766,-0.0592
767,-0.1244
768,-0.1606
769,-0.1703
770,-0.1355
771,-0.1119
772,-0.0520
773,-0.0034
774,0.0480
775,0.0699
776,0.0594
777,0.0180
778,-0.0450
779,-0.0963
780,-0.1402
781,-0.1412
782,-0.1402
783,-0.1161
784,-0.0989
785,-0.0659
786,-0.0238
787,0.0161
788,0.0418
789,0.0352
790,-0.0316
791,-0.0682
792,-0.1218
793,-0.1192
794,-0.1177
795,-0.0870
796,-0.0635
797,-0.0148
798,0.0391
799,0.0806
800,0.1051
801,0.0844
802,0.0512
803,-0.0207
804,-0.0619
805,-0.1038
806,-0.0877
807,-0.0875
808,-0.0530
809,-0.0314
810,0.0258
811,0.0467
812,0.0689
813,0.0161
814,-0.0301
815,-0.0998
816,-0.1323
817,-0.1432
818,-0.1255
819,-0.1068
820,-0.0698
821,-0.0231
822,0.0386
823,0.0751
824,0.0989
825,0.0635
826,0.0426
827,-0.0194
828,-0.0540
829,-0.0944
830,-0.0845
