t,w
0.0,0.0
0.012002400480096018,0.0
0.024004800960192037,0.0
0.03600720144028806,0.0
0.048009601920384073,0.0
0.06001200240048009,0.0
0.07201440288057612,0.0
0.08401680336067213,0.0
0.09601920384076815,0.0
0.10802160432086416,0.0
0.12002400480096018,0.0
0.1320264052810562,0.0
0.14402880576115223,0.0
0.15603120624124825,0.0
0.16803360672134426,0.0
0.18003600720144028,0.0
0.1920384076815363,0.0
0.2040408081616323,0.0
0.21604320864172832,0.0
0.22804560912182434,0.0
0.24004800960192035,0.0
0.2520504100820164,0.0
0.2640528105621124,0.0
0.2760552110422084,0.0
0.28805761152230447,0.0
0.30006001200240046,0.0
0.3120624124824965,0.0
0.3240648129625925,0.0
0.33606721344268853,0.0
0.3480696139227845,0.0
0.36007201440288056,0.0
0.37207441488297655,0.0
0.3840768153630726,0.0
0.39607921584316863,0.0
0.4080816163232646,0.0
0.42008401680336066,0.0
0.43208641728345665,0.0
0.4440888177635527,0.0
0.4560912182436487,0.0
0.4680936187237447,0.0
0.4800960192038407,0.0
0.49209841968393675,0.0
0.5041008201640328,0.1
0.5161032206441288,0.1
0.5281056211242248,0.1
0.5401080216043208,0.1
0.5521104220844169,0.1
0.5641128225645129,0.1
0.5761152230446089,0.1
0.5881176235247049,0.1
0.6001200240048009,0.1
0.612122424484897,0.1
0.624124824964993,0.1
0.6361272254450889,0.1
0.648129625925185,0.1
0.660132026405281,0.1
0.6721344268853771,0.1
0.6841368273654731,0.1
0.696139227845569,0.1
0.7081416283256651,0.1
0.7201440288057611,0.1
0.7321464292858572,0.1
0.7441488297659531,0.1
0.7561512302460491,0.1
0.7681536307261452,0.1
0.7801560312062412,0.1
0.7921584316863373,0.1
0.8041608321664332,0.1
0.8161632326465292,0.1
0.8281656331266253,0.1
0.8401680336067213,0.1
0.8521704340868173,0.1
0.8641728345669133,0.1
0.8761752350470093,0.1
0.8881776355271054,0.1
0.9001800360072014,0.1
0.9121824364872974,0.1
0.9241848369673934,0.1
0.9361872374474894,0.1
0.9481896379275855,0.1
0.9601920384076814,0.1
0.9721944388877775,0.1
0.9841968393678735,0.1
0.9961992398479695,0.1
1.0082016403280656,0.1
1.0202040408081616,0.1
1.0322064412882577,0.1
1.0442088417683535,0.1
1.0562112422484495,0.1
1.0682136427285456,0.1
1.0802160432086416,0.1
1.0922184436887377,0.1
1.1042208441688337,0.1
1.1162232446489297,0.1
1.1282256451290258,0.1
1.1402280456091218,0.1
1.1522304460892179,0.1
1.1642328465693137,0.1
1.1762352470494097,0.1
1.1882376475295058,0.1
1.2002400480096018,0.1
1.2122424484896979,0.1
1.224244848969794,0.1
1.23624724944989,0.1
1.248249649929986,0.1
1.260252050410082,0.1
1.2722544508901779,0.1
1.284256851370274,0.1
1.29625925185037,0.1
1.308261652330466,0.1
1.320264052810562,0.1
1.332266453290658,0.1
1.3442688537707541,0.1
1.3562712542508502,0.1
1.3682736547309462,0.1
1.380276055211042,0.1
1.392278455691138,0.1
1.404280856171234,0.1
1.4162832566513301,0.1
1.4282856571314262,0.1
1.4402880576115222,0.1
1.4522904580916183,0.1
1.4642928585717143,0.1
1.4762952590518104,0.1
1.4882976595319062,0.1
1.5003000600120022,0.1
1.5123024604920983,0.1
1.5243048609721943,0.1
1.5363072614522904,0.1
1.5483096619323864,0.1
1.5603120624124824,0.1
1.5723144628925785,0.1
1.5843168633726745,0.1
1.5963192638527703,0.1
1.6083216643328664,0.1
1.6203240648129624,0.1
1.6323264652930585,0.1
1.6443288657731545,0.1
1.6563312662532506,0.1
1.6683336667333466,0.1
1.6803360672134426,0.1
1.6923384676935387,0.1
1.7043408681736345,0.1
1.7163432686537305,0.1
1.7283456691338266,0.1
1.7403480696139226,0.1
1.7523504700940187,0.1
1.7643528705741147,0.1
1.7763552710542108,0.1
1.7883576715343068,0.1
1.8003600720144028,0.1
1.8123624724944987,0.1
1.8243648729745947,0.1
1.8363672734546908,0.1
1.8483696739347868,0.1
1.8603720744148828,0.1
1.8723744748949789,0.1
1.884376875375075,0.1
1.896379275855171,0.1
1.908381676335267,0.1
1.9203840768153628,0.1
1.9323864772954589,0.1
1.944388877775555,0.1
1.956391278255651,0.1
1.968393678735747,0.1
1.980396079215843,0.1
1.992398479695939,0.1
2.004400880176035,0.1
2.016403280656131,0.1
2.028405681136227,0.1
2.0404080816163233,0.1
2.0524104820964193,0.1
2.0644128825765153,0.1
2.0764152830566114,0.1
2.088417683536707,0.1
2.100420084016803,0.1
2.112422484496899,0.1
2.124424884976995,0.1
2.136427285457091,0.1
2.148429685937187,0.1
2.1604320864172832,0.1
2.1724344868973793,0.1
2.1844368873774753,0.1
2.1964392878575714,0.1
2.2084416883376674,0.1
2.2204440888177635,0.1
2.2324464892978595,0.1
2.2444488897779555,0.1
2.2564512902580516,0.1
2.2684536907381476,0.1
2.2804560912182437,0.1
2.2924584916983397,0.1
2.3044608921784357,0.1
2.3164632926585313,0.1
2.3284656931386274,0.1
2.3404680936187234,0.1
2.3524704940988195,0.1
2.3644728945789155,0.1
2.3764752950590116,0.1
2.3884776955391076,0.1
2.4004800960192036,0.1
2.4124824964992997,0.1
2.4244848969793957,0.1
2.4364872974594918,0.1
2.448489697939588,0.1
2.460492098419684,0.1
2.47249449889978,0.1
2.484496899379876,0.1
2.496499299859972,0.1
2.508501700340068,0.1
2.520504100820164,0.1
2.5325065013002597,0.1
2.5445089017803557,0.1
2.5565113022604518,0.1
2.568513702740548,0.1
2.580516103220644,0.1
2.59251850370074,0.1
2.604520904180836,0.1
2.616523304660932,0.1
2.628525705141028,0.1
2.640528105621124,0.1
2.65253050610122,0.1
2.664532906581316,0.1
2.676535307061412,0.1
2.6885377075415082,0.1
2.7005401080216043,0.1
2.7125425085017003,0.1
2.7245449089817964,0.1
2.7365473094618924,0.1
2.748549709941988,0.1
2.760552110422084,0.1
2.77255451090218,0.1
2.784556911382276,0.1
2.796559311862372,0.1
2.808561712342468,0.1
2.8205641128225643,0.1
2.8325665133026603,0.1
2.8445689137827563,0.1
2.8565713142628524,0.1
2.8685737147429484,0.1
2.8805761152230445,0.1
2.8925785157031405,0.1
2.9045809161832365,0.1
2.9165833166633326,0.1
2.9285857171434286,0.1
2.9405881176235247,0.1
2.9525905181036207,0.1
2.9645929185837163,0.1
2.9765953190638124,0.1
2.9885977195439084,0.1
3.0006001200240044,0.1
3.0126025205041005,0.1
3.0246049209841965,0.1
3.0366073214642926,0.1
3.0486097219443886,0.1
3.0606121224244847,0.1
3.0726145229045807,0.1
3.0846169233846767,0.1
3.096619323864773,0.1
3.108621724344869,0.1
3.120624124824965,0.1
3.132626525305061,0.1
3.144628925785157,0.1
3.156631326265253,0.1
3.168633726745349,0.1
3.180636127225445,0.1
3.1926385277055407,0.1
3.2046409281856367,0.1
3.2166433286657328,0.1
3.228645729145829,0.1
3.240648129625925,0.1
3.252650530106021,0.1
3.264652930586117,0.1
3.276655331066213,0.1
3.288657731546309,0.1
3.300660132026405,0.1
3.312662532506501,0.1
3.324664932986597,0.1
3.336667333466693,0.1
3.3486697339467892,0.1
3.3606721344268853,0.1
3.3726745349069813,0.1
3.3846769353870774,0.1
3.3966793358671734,0.1
3.408681736347269,0.1
3.420684136827365,0.1
3.432686537307461,0.1
3.444688937787557,0.1
3.456691338267653,0.1
3.4686937387477492,0.1
3.4806961392278453,0.1
3.4926985397079413,0.1
3.5047009401880374,0.1
3.5167033406681334,0.1
3.5287057411482294,0.1
3.5407081416283255,0.1
3.5527105421084215,0.1
3.5647129425885176,0.1
3.5767153430686136,0.1
3.5887177435487096,0.1
3.6007201440288057,0.1
3.6127225445089017,0.1
3.6247249449889973,0.1
3.6367273454690934,0.1
3.6487297459491894,0.1
3.6607321464292855,0.1
3.6727345469093815,0.1
3.6847369473894775,0.1
3.6967393478695736,0.1
3.7087417483496696,0.1
3.7207441488297657,0.1
3.7327465493098617,0.1
3.7447489497899578,0.1
3.756751350270054,0.1
3.76875375075015,0.1
3.780756151230246,0.1
3.792758551710342,0.1
3.804760952190438,0.1
3.816763352670534,0.1
3.82876575315063,0.1
3.8407681536307257,0.1
3.8527705541108217,0.1
3.8647729545909177,0.1
3.876775355071014,0.1
3.88877775555111,0.1
3.900780156031206,0.1
3.912782556511302,0.1
3.924784956991398,0.1
3.936787357471494,0.1
3.94878975795159,0.1
3.960792158431686,0.1
3.972794558911782,0.1
3.984796959391878,0.1
3.996799359871974,0.1
4.00880176035207,0.1
4.020804160832166,0.1
