t,w
0.0,0.0
1.2501562695336917e-05,0.0015072563380480928
2.5003125390673835e-05,0.0030141702348850576
3.750468808601075e-05,0.004520399327100721
5.000625078134767e-05,0.006025601406869148
6.250781347668459e-05,0.0075294344996965626
7.50093761720215e-05,0.009031556942116282
8.751093886735842e-05,0.01053162745931296
0.00010001250156269534,0.012029305242658548
0.00011251406425803226,0.013524250027142339
0.00012501562695336918,0.015016122168677494
0.0001375171896487061,0.016504582721266505
0.000150018752344043,0.01798929351400806
0.00016252031503937993,0.01946991722792781
0.00017502187773471684,0.020946117472615555
0.00018752344043005377,0.022417558862651524
0.00020002500312539068,0.023883907093804238
0.00021252656582072758,0.025344829018982835
0.00022502812851606452,0.026799992723926438
0.00023752969121140142,0.028249067602613382
0.00025003125390673836,0.02969172443237337
0.00026253281660207524,0.03112763544868514
0.0002750343792974122,0.03255647441964304
0.0002875359419927491,0.03397791672007524
0.000300037504688086,0.03539163940529698
0.0003125390673834229,0.036797321284482085
0.00032504063007875986,0.038194642993635834
0.0003375421927740968,0.03958328706815294
0.00035004375546943367,0.04096293801494394
0.0003625453181647706,0.04233328238411367
0.00037504688086010754,0.043694008840175526
0.0003875484435554444,0.04504480823278536
0.00040005000625078135,0.0463853736669789
0.0004125515689461183,0.04771540057289683
0.00042505313164145517,0.049034586774981445
0.0004375546943367921,0.05034263256062959
0.00045005625703212904,0.051639240748285756
0.0004625578197274659,0.052924116754960386
0.00047505938242280285,0.054196968663157555
0.0004875609451181398,0.0554575072871973
0.0005000625078134767,0.056705446238917094
0.0005125640705088136,0.05794050199273788
0.0005250656332041505,0.05916239395007966
0.0005375671958994875,0.06037084450311212
0.0005500687585948243,0.06156557909782574
0.0005625703212901612,0.06274632629640915
0.0005750718839854982,0.06391281783891843
0.0005875734466808351,0.06506478870422444
0.000600075009376172,0.06620197717022436
0.000612576572071509,0.06732412487330364
0.0006250781347668458,0.06843097686703489
0.0006375796974621828,0.06952228168010054
0.0006500812601575197,0.0705977913734258
0.0006625828228528566,0.07165726159650924
0.0006750843855481936,0.0727004516429381
0.0006875859482435305,0.07372712450507539
0.0007000875109388673,0.07473704692790703
0.0007125890736342043,0.07572998946203624
0.0007250906363295412,0.0767057265158132
0.0007375921990248781,0.07766403640658844
0.0007500937617202151,0.07860470141107805
0.000762595324415552,0.0795275078148293
0.0007750968871108888,0.08043224596077553
0.0007875984498062258,0.0813187102968692
0.0008001000125015627,0.0821866994227823
0.0008126015751968996,0.08303601613566353
0.0008251031378922366,0.08386646747494178
0.0008376047005875735,0.08467786476616584
0.0008501062632829103,0.08547002366387031
0.0008626078259782473,0.086242764193458
0.0008751093886735842,0.0869959107920892
0.0008876109513689211,0.08772929234856876
0.0009001125140642581,0.08844274224222173
0.000912614076759595,0.08913609838074865
0.0009251156394549318,0.08980920323705224
0.0009376172021502688,0.0904619038850267
0.0009501187648456057,0.09109405203430179
0.0009626203275409426,0.09170550406393373
0.0009751218902362796,0.09229612105503503
