 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            4000              -2;
     1    0.009            4000              25;
     2    0.018            4000              68;
     3    0.027            4000             133;
     4    0.035            4000             215;
     5    0.044            4000             311;
     6    0.053            4000             424;
     7    0.062            4000             561;
     8    0.071            4000             728;
     9    0.080            4000             922;
    10    0.089            4000            1136;
    11    0.097            4000            1367;
    12    0.106            4000            1618;
    13    0.115            4000            1894;
    14    0.124            4000            2199;
    15    0.133            4000            2526;
    16    0.142            4000            2857;
    17    0.151            4000            3186;
    18    0.159            4000            3516;
    19    0.168            4000            3843;
    20    0.177            4000            4157;
    21    0.186            4000            4453;
    22    0.195            4000            4726;
    23    0.204            4000            4969;
    24    0.213            4000            5177;
    25    0.221            4000            5357;
    26    0.230            4000            5512;
    27    0.239            4000            5639;
    28    0.248            4000            5737;
    29    0.257            4000            5802;
    30    0.266            4000            5837;
    31    0.274            4000            5848;
    32    0.283            4000            5837;
    33    0.292            4000            5799;
    34    0.301            4000            5734;
    35    0.310            4000            5640;
    36    0.319            4000            5521;
    37    0.328            4000            5380;
    38    0.336            4000            5218;
    39    0.345            4000            5038;
    40    0.354            4000            4841;
    41    0.363            4000            4636;
    42    0.372            4000            4428;
    43    0.381            4000            4221;
    44    0.390            4000            4019;
    45    0.398            4000            3829;
    46    0.407            4000            3653;
    47    0.416            4000            3496;
    48    0.425            4000            3363;
    49    0.434            4000            3252;
    50    0.443            4000            3159;
    51    0.452            4000            3084;
    52    0.460            4000            3029;
    53    0.469            4000            3000;
    54    0.478            4000            2997;
    55    0.487            4000            3018;
    56    0.496            4000            3056;
    57    0.505            4000            3109;
    58    0.514            4000            3178;
    59    0.522            4000            3265;
    60    0.531            4000            3363;
    61    0.540            4000            3469;
    62    0.549            4000            3578;
    63    0.558            4000            3690;
    64    0.567            4000            3805;
    65    0.576            4000            3919;
    66    0.584            4000            4026;
    67    0.593            4000            4125;
    68    0.602            4000            4214;
    69    0.611            4000            4293;
    70    0.620            4000            4364;
    71    0.629            4000            4423;
    72    0.638            4000            4470;
    73    0.646            4000            4505;
    74    0.655            4000            4526;
    75    0.664            4000            4536;
    76    0.673            4000            4537;
    77    0.682            4000            4524;
    78    0.691            4000            4501;
    79    0.699            4000            4469;
    80    0.708            4000            4430;
    81    0.717            4000            4386;
    82    0.726            4000            4336;
    83    0.735            4000            4282;
    84    0.744            4000            4225;
    85    0.753            4000            4167;
    86    0.761            4000            4108;
    87    0.770            4000            4049;
    88    0.779            4000            3993;
    89    0.788            4000            3940;
    90    0.797            4000            3891;
    91    0.806            4000            3847;
    92    0.815            4000            3809;
    93    0.823            4000            3778;
    94    0.832            4000            3754;
    95    0.841            4000            3737;
    96    0.850            4000            3727;
    97    0.859            4000            3724;
    98    0.868            4000            3726;
    99    0.877            4000            3737;
   100    0.885            4000            3752;
   101    0.894            4000            3772;
   102    0.903            4000            3794;
   103    0.912            4000            3820;
   104    0.921            4000            3847;
   105    0.930            4000            3875;
   106    0.939            4000            3903;
   107    0.947            4000            3932;
   108    0.956            4000            3959;
   109    0.965            4000            3984;
   110    0.974            4000            4008;
   111    0.983            4000            4029;
   112    0.992            4000            4047;
   113    1.001            4000            4062;
   114    1.009               0            4057;
   115    1.018               0            4019;
   116    1.027               0            3946;
   117    1.036               0            3847;
   118    1.045               0            3729;
   119    1.054               0            3594;
   120    1.063               0            3434;
   121    1.071               0            3242;
   122    1.080               0            3018;
   123    1.089               0            2773;
   124    1.098               0            2510;
   125    1.107               0            2221;
   126    1.116               0            1903;
   127    1.124               0            1564;
   128    1.133               0            1213;
   129    1.142               0             855;
   130    1.151               0             495;
   131    1.160               0             146;
   132    1.169               0            -185;
   133    1.178               0            -494;
   134    1.186               0            -778;
   135    1.195               0           -1041;
   136    1.204               0           -1283;
   137    1.213               0           -1504;
   138    1.222               0           -1686;
   139    1.231               0           -1825;
   140    1.240               0           -1926;
   141    1.248               0           -1999;
   142    1.257               0           -2046;
   143    1.266               0           -2063;
   144    1.275               0           -2042;
   145    1.284               0           -1982;
   146    1.293               0           -1892;
   147    1.302               0           -1776;
   148    1.310               0           -1633;
   149    1.319               0           -1459;
   150    1.328               0           -1260;
   151    1.337               0           -1044;
   152    1.346               0            -821;
   153    1.355               0            -592;
   154    1.364               0            -361;
   155    1.372               0            -134;
   156    1.381               0              83;
   157    1.390               0             285;
   158    1.399               0             471;
   159    1.408               0             639;
   160    1.417               0             791;
   161    1.426               0             920;
   162    1.434               0            1016;
   163    1.443               0            1080;
   164    1.452               0            1113;
   165    1.461               0            1120;
   166    1.470               0            1100;
   167    1.479               0            1053;
   168    1.488               0             980;
   169    1.496               0             886;
   170    1.505               0             778;
   171    1.514               0             659;
   172    1.523               0             531;
   173    1.532               0             397;
   174    1.541               0             258;
   175    1.549               0             120;
   176    1.558               0             -11;
   177    1.567               0            -133;
   178    1.576               0            -243;
   179    1.585               0            -341;
   180    1.594               0            -426;
   181    1.603               0            -498;
   182    1.611               0            -559;
   183    1.620               0            -604;
   184    1.629               0            -631;
   185    1.638               0            -639;
   186    1.647               0            -633;
   187    1.656               0            -613;
   188    1.665               0            -580;
   189    1.673               0            -533;
   190    1.682               0            -476;
   191    1.691               0            -413;
   192    1.700               0            -346;
   193    1.709               0            -275;
   194    1.718               0            -202;
   195    1.727               0            -128;
   196    1.735               0             -56;
   197    1.744               0              13;
   198    1.753               0              79;
   199    1.762               0             140;
   200    1.771               0             194;
   201    1.780               0             238;
   202    1.789               0             274;
   203    1.797               0             302;
   204    1.806               0             321;
   205    1.815               0             330;
   206    1.824               0             332;
   207    1.833               0             325;
   208    1.842               0             311;
   209    1.851               0             290;
   210    1.859               0             263;
   211    1.868               0             232;
   212    1.877               0             198;
   213    1.886               0             160;
   214    1.895               0             121;
   215    1.904               0              79;
   216    1.913               0              38;
   217    1.921               0              -2;
   218    1.930               0             -38;
   219    1.939               0             -71;
   220    1.948               0            -100;
   221    1.957               0            -123;
   222    1.966               0            -139;
   223    1.974               0            -151;
