 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            4000              -5;
     1    0.009            4000              15;
     2    0.018            4000              66;
     3    0.027            4000             134;
     4    0.035            4000             210;
     5    0.044            4000             289;
     6    0.053            4000             368;
     7    0.062            4000             453;
     8    0.071            4000             552;
     9    0.080            4000             669;
    10    0.089            4000             802;
    11    0.097            4000             944;
    12    0.106            4000            1094;
    13    0.115            4000            1257;
    14    0.124            4000            1438;
    15    0.133            4000            1634;
    16    0.142            4000            1837;
    17    0.151            4000            2044;
    18    0.159            4000            2265;
    19    0.168            4000            2500;
    20    0.177            4000            2746;
    21    0.186            4000            2994;
    22    0.195            4000            3239;
    23    0.204            4000            3477;
    24    0.213            4000            3706;
    25    0.221            4000            3919;
    26    0.230            4000            4112;
    27    0.239            4000            4287;
    28    0.248            4000            4439;
    29    0.257            4000            4565;
    30    0.266            4000            4667;
    31    0.274            4000            4738;
    32    0.283            4000            4778;
    33    0.292            4000            4791;
    34    0.301            4000            4781;
    35    0.310            4000            4747;
    36    0.319            4000            4690;
    37    0.328            4000            4612;
    38    0.336            4000            4514;
    39    0.345            4000            4404;
    40    0.354            4000            4282;
    41    0.363            4000            4149;
    42    0.372            4000            4010;
    43    0.381            4000            3868;
    44    0.390            4000            3729;
    45    0.398            4000            3595;
    46    0.407            4000            3471;
    47    0.416            4000            3358;
    48    0.425            4000            3259;
    49    0.434            4000            3174;
    50    0.443            4000            3103;
    51    0.452            4000            3045;
    52    0.460            4000            3001;
    53    0.469            4000            2970;
    54    0.478            4000            2953;
    55    0.487            4000            2950;
    56    0.496            4000            2959;
    57    0.505            4000            2980;
    58    0.514            4000            3012;
    59    0.522            4000            3052;
    60    0.531            4000            3109;
    61    0.540            4000            3195;
    62    0.549            4000            3312;
    63    0.558            4000            3455;
    64    0.567            4000            3606;
    65    0.576            4000            3758;
    66    0.584            4000            3911;
    67    0.593            4000            4064;
    68    0.602            4000            4220;
    69    0.611            4000            4375;
    70    0.620            4000            4528;
    71    0.629            4000            4676;
    72    0.638            4000            4808;
    73    0.646            4000            4920;
    74    0.655            4000            5011;
    75    0.664            4000            5084;
    76    0.673            4000            5143;
    77    0.682            4000            5189;
    78    0.691            4000            5222;
    79    0.699            4000            5236;
    80    0.708            4000            5230;
    81    0.717            4000            5204;
    82    0.726            4000            5164;
    83    0.735            4000            5115;
    84    0.744            4000            5055;
    85    0.753            4000            4984;
    86    0.761            4000            4903;
    87    0.770            4000            4819;
    88    0.779            4000            4734;
    89    0.788            4000            4650;
    90    0.797            4000            4566;
    91    0.806            4000            4482;
    92    0.815            4000            4401;
    93    0.823            4000            4326;
    94    0.832            4000            4257;
    95    0.841            4000            4195;
    96    0.850            4000            4139;
    97    0.859            4000            4092;
    98    0.868            4000            4056;
    99    0.877            4000            4032;
   100    0.885            4000            4017;
   101    0.894            4000            4010;
   102    0.903            4000            4012;
   103    0.912            4000            4027;
   104    0.921            4000            4049;
   105    0.930            4000            4077;
   106    0.939            4000            4109;
   107    0.947            4000            4148;
   108    0.956            4000            4190;
   109    0.965            4000            4233;
   110    0.974            4000            4277;
   111    0.983            4000            4321;
   112    0.992            4000            4365;
   113    1.001            4000            4407;
