 Sample   Time     Commanded Pos   Encoder 1 Pos 
   114    1.009               0            4437;
   115    1.018               0            4447;
   116    1.027               0            4443;
   117    1.036               0            4416;
   118    1.045               0            4348;
   119    1.054               0            4234;
   120    1.063               0            4079;
   121    1.071               0            3894;
   122    1.080               0            3682;
   123    1.089               0            3436;
   124    1.098               0            3154;
   125    1.107               0            2838;
   126    1.116               0            2494;
   127    1.124               0            2117;
   128    1.133               0            1710;
   129    1.142               0            1281;
   130    1.151               0             840;
   131    1.160               0             399;
   132    1.169               0             -32;
   133    1.178               0            -449;
   134    1.186               0            -855;
   135    1.195               0           -1253;
   136    1.204               0           -1643;
   137    1.213               0           -2010;
   138    1.222               0           -2340;
   139    1.231               0           -2640;
   140    1.240               0           -2918;
   141    1.248               0           -3176;
   142    1.257               0           -3412;
   143    1.266               0           -3624;
   144    1.275               0           -3810;
   145    1.284               0           -3975;
   146    1.293               0           -4123;
   147    1.302               0           -4256;
   148    1.310               0           -4366;
   149    1.319               0           -4446;
   150    1.328               0           -4499;
   151    1.337               0           -4530;
   152    1.346               0           -4538;
   153    1.355               0           -4521;
   154    1.364               0           -4476;
   155    1.372               0           -4404;
   156    1.381               0           -4309;
   157    1.390               0           -4195;
   158    1.399               0           -4061;
   159    1.408               0           -3907;
   160    1.417               0           -3734;
   161    1.426               0           -3547;
   162    1.434               0           -3344;
   163    1.443               0           -3120;
   164    1.452               0           -2877;
   165    1.461               0           -2616;
   166    1.470               0           -2339;
   167    1.479               0           -2046;
   168    1.488               0           -1734;
   169    1.496               0           -1411;
   170    1.505               0           -1087;
   171    1.514               0            -767;
   172    1.523               0            -454;
   173    1.532               0            -151;
   174    1.541               0             142;
   175    1.549               0             433;
   176    1.558               0             718;
   177    1.567               0            1001;
   178    1.576               0            1267;
   179    1.585               0            1505;
   180    1.594               0            1714;
   181    1.603               0            1900;
   182    1.611               0            2072;
   183    1.620               0            2232;
   184    1.629               0            2365;
   185    1.638               0            2472;
   186    1.647               0            2558;
   187    1.656               0            2627;
   188    1.665               0            2678;
   189    1.673               0            2707;
   190    1.682               0            2715;
   191    1.691               0            2698;
   192    1.700               0            2665;
   193    1.709               0            2615;
   194    1.718               0            2545;
   195    1.727               0            2453;
   196    1.735               0            2341;
   197    1.744               0            2213;
   198    1.753               0            2069;
   199    1.762               0            1909;
   200    1.771               0            1733;
   201    1.780               0            1543;
   202    1.789               0            1340;
   203    1.797               0            1123;
   204    1.806               0             901;
   205    1.815               0             684;
   206    1.824               0             472;
   207    1.833               0             266;
   208    1.842               0              70;
   209    1.851               0            -112;
   210    1.859               0            -270;
   211    1.868               0            -404;
   212    1.877               0            -510;
   213    1.886               0            -588;
   214    1.895               0            -638;
   215    1.904               0            -666;
   216    1.913               0            -673;
   217    1.921               0            -661;
   218    1.930               0            -626;
   219    1.939               0            -566;
   220    1.948               0            -488;
   221    1.957               0            -396;
   222    1.966               0            -295;
   223    1.974               0            -183;
   224    1.983               0             -63;
   225    1.992               0              61]
