 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            4000              -3;
     1    0.009            4000              11;
     2    0.018            4000              65;
     3    0.027            4000             136;
     4    0.035            4000             215;
     5    0.044            4000             295;
     6    0.053            4000             374;
     7    0.062            4000             459;
     8    0.071            4000             557;
     9    0.080            4000             674;
    10    0.089            4000             808;
    11    0.097            4000             950;
    12    0.106            4000            1097;
    13    0.115            4000            1255;
    14    0.124            4000            1428;
    15    0.133            4000            1612;
    16    0.142            4000            1798;
    17    0.151            4000            1979;
    18    0.159            4000            2156;
    19    0.168            4000            2336;
    20    0.177            4000            2516;
    21    0.186            4000            2695;
    22    0.195            4000            2869;
    23    0.204            4000            3034;
    24    0.213            4000            3188;
    25    0.221            4000            3331;
    26    0.230            4000            3462;
    27    0.239            4000            3583;
    28    0.248            4000            3693;
    29    0.257            4000            3791;
    30    0.266            4000            3878;
    31    0.274            4000            3953;
    32    0.283            4000            4016;
    33    0.292            4000            4065;
    34    0.301            4000            4099;
    35    0.310            4000            4117;
    36    0.319            4000            4122;
    37    0.328            4000            4117;
    38    0.336            4000            4100;
    39    0.345            4000            4070;
    40    0.354            4000            4030;
    41    0.363            4000            3984;
    42    0.372            4000            3932;
    43    0.381            4000            3874;
    44    0.390            4000            3810;
    45    0.398            4000            3744;
    46    0.407            4000            3676;
    47    0.416            4000            3609;
    48    0.425            4000            3541;
    49    0.434            4000            3475;
    50    0.443            4000            3412;
    51    0.452            4000            3353;
    52    0.460            4000            3299;
    53    0.469            4000            3248;
    54    0.478            4000            3198;
    55    0.487            4000            3150;
    56    0.496            4000            3104;
    57    0.505            4000            3061;
    58    0.514            4000            3023;
    59    0.522            4000            2987;
    60    0.531            4000            2960;
    61    0.540            4000            2955;
    62    0.549            4000            2981;
    63    0.558            4000            3033;
    64    0.567            4000            3102;
    65    0.576            4000            3178;
    66    0.584            4000            3262;
    67    0.593            4000            3360;
    68    0.602            4000            3470;
    69    0.611            4000            3588;
    70    0.620            4000            3704;
    71    0.629            4000            3822;
    72    0.638            4000            3943;
    73    0.646            4000            4070;
    74    0.655            4000            4198;
    75    0.664            4000            4327;
    76    0.673            4000            4455;
    77    0.682            4000            4581;
    78    0.691            4000            4701;
    79    0.699            4000            4815;
    80    0.708            4000            4918;
    81    0.717            4000            5012;
    82    0.726            4000            5099;
    83    0.735            4000            5181;
    84    0.744            4000            5258;
    85    0.753            4000            5327;
    86    0.761            4000            5385;
    87    0.770            4000            5432;
    88    0.779            4000            5469;
    89    0.788            4000            5498;
    90    0.797            4000            5519;
    91    0.806            4000            5530;
    92    0.815            4000            5532;
    93    0.823            4000            5526;
    94    0.832            4000            5513;
    95    0.841            4000            5494;
    96    0.850            4000            5468;
    97    0.859            4000            5438;
    98    0.868            4000            5404;
    99    0.877            4000            5368;
   100    0.885            4000            5329;
   101    0.894            4000            5287;
   102    0.903            4000            5243;
   103    0.912            4000            5200;
   104    0.921            4000            5156;
   105    0.930            4000            5113;
   106    0.939            4000            5069;
   107    0.947            4000            5027;
   108    0.956            4000            4987;
   109    0.965            4000            4949;
   110    0.974            4000            4913;
   111    0.983            4000            4879;
   112    0.992            4000            4847;
   113    1.001            4000            4820;
   114    1.009               0            4780;
   115    1.018               0            4723;
   116    1.027               0            4650;
   117    1.036               0            4556;
   118    1.045               0            4428;
   119    1.054               0            4260;
   120    1.063               0            4051;
   121    1.071               0            3810;
   122    1.080               0            3542;
   123    1.089               0            3248;
   124    1.098               0            2927;
   125    1.107               0            2581;
   126    1.116               0            2215;
   127    1.124               0            1834;
   128    1.133               0            1447;
   129    1.142               0            1062;
   130    1.151               0             681;
   131    1.160               0             303;
   132    1.169               0             -79;
   133    1.178               0            -459;
   134    1.186               0            -825;
   135    1.195               0           -1166;
   136    1.204               0           -1484;
   137    1.213               0           -1779;
   138    1.222               0           -2052;
   139    1.231               0           -2303;
   140    1.240               0           -2535;
   141    1.248               0           -2747;
   142    1.257               0           -2934;
   143    1.266               0           -3092;
   144    1.275               0           -3223;
   145    1.284               0           -3331;
   146    1.293               0           -3417;
   147    1.302               0           -3481;
   148    1.310               0           -3522;
   149    1.319               0           -3539;
   150    1.328               0           -3534;
   151    1.337               0           -3507;
   152    1.346               0           -3460;
   153    1.355               0           -3392;
   154    1.364               0           -3303;
   155    1.372               0           -3193;
   156    1.381               0           -3062;
   157    1.390               0           -2911;
   158    1.399               0           -2743;
   159    1.408               0           -2559;
   160    1.417               0           -2362;
   161    1.426               0           -2159;
   162    1.434               0           -1954;
   163    1.443               0           -1747;
   164    1.452               0           -1542;
   165    1.461               0           -1337;
   166    1.470               0           -1133;
   167    1.479               0            -934;
   168    1.488               0            -742;
   169    1.496               0            -565;
   170    1.505               0            -404;
   171    1.514               0            -257;
   172    1.523               0            -121;
   173    1.532               0               7;
   174    1.541               0             134;
   175    1.549               0             265;
   176    1.558               0             405;
   177    1.567               0             551;
   178    1.576               0             691;
   179    1.585               0             818;
   180    1.594               0             928;
   181    1.603               0            1029;
   182    1.611               0            1125;
   183    1.620               0            1214;
   184    1.629               0            1291;
   185    1.638               0            1353;
   186    1.647               0            1399;
   187    1.656               0            1436;
   188    1.665               0            1464;
   189    1.673               0            1480;
