 Sample   Time     Commanded Pos   Encoder 1 Pos 
   190    1.682               0            1484;
   191    1.691               0            1478;
   192    1.700               0            1462;
   193    1.709               0            1441;
   194    1.718               0            1411;
   195    1.727               0            1373;
   196    1.735               0            1330;
   197    1.744               0            1284;
   198    1.753               0            1236;
   199    1.762               0            1183;
   200    1.771               0            1127;
   201    1.780               0            1071;
   202    1.789               0            1016;
   203    1.797               0             962;
   204    1.806               0             907;
   205    1.815               0             855;
   206    1.824               0             805;
   207    1.833               0             758;
   208    1.842               0             715;
   209    1.851               0             673;
   210    1.859               0             635;
   211    1.868               0             602;
   212    1.877               0             573;
   213    1.886               0             548;
   214    1.895               0             526;
   215    1.904               0             509;
   216    1.913               0             497;
   217    1.921               0             489;
   218    1.930               0             484;
   219    1.939               0             483;
   220    1.948               0             483;
   221    1.957               0             489;
   222    1.966               0             498;
   223    1.974               0             508;
   224    1.983               0             520;
   225    1.992               0             534]
